Id,Fecha,Anio,Mes,Día,Rol,Victima,Sexo,Edad,Gravedad,Rango_Etario,Sentencia,Cantidad_Víctimas,Hora,Parte_Horaria,Lugar_del_Hecho,Tipo_de_Calle,Calle,Cruce,Dirección_Normalizada,Comuna,Pos X,Pos Y,Participantes,Víctima,Acusado
2016-0178,2016-12-30,2016,12,30,PEATON,PEATON,FEMENINO,7,FATAL,NIÑO,HOMOCIDIO CULPOSO,1,16:18:00,16,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,SI,REPUBLICA BOLIVARIANA DE VENEZUELA Y SI,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE
2017-0001,2017-01-02,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,01:00:00,1,AV. JUAN B JUSTO Y ACHUPALLAS,AVENIDA,AV. JUAN B. JUSTO,SI,AV. JUAN B. JUSTO Y SI,11,-58.46594230,-34.61028571,MOTO-CARGAS,MOTO,CARGAS
2017-0003,2017-01-05,2017,1,5,PASAJERO,CARGAS,MASCULINO,33,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,03:10:00,3,OLAVARRIA Y AV. VELEZ SARSFIELD,AVENIDA,OLAVARRIA,SI,OLAVARRIA Y SI,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS
2017-0007,2017-01-11,2017,1,11,PEATON,PEATON,MASCULINO,48,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,17:00:00,17,LIMA Y MEXICO,CALLE,LIMA,SI,LIMA Y SI,1,-58.38161660,-34.61529543,MULTIPLE,PEATON,MULTIPLE
2017-0008,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,00:40:00,0,JOSE A CABRERA Y BONPLAND,CALLE,JOSE A. CABRERA,SI,JOSE A. CABRERA Y SI,14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0009,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,13:56:00,13,AU 25 DE MAYO Y AV. BOEDO,AUTOPISTA,AUTOPISTA 25 DE MAYO,NO,AUTOPISTA 25 DE MAYO Y NO,5,-58.41595919,-34.62743346,MOTO-CARGAS,MOTO,CARGAS
2017-0010,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,16:30:00,16,AV. DIRECTORIO Y RIGLOS,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,6,-58.43564880,-34.62828656,MOTO-AUTO,MOTO,AUTO
2017-0011,2017-01-22,2017,1,22,PASAJERO,MOTO,FEMENINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,02:30:00,2,AV. GRAL. PAZ Y AV. R. BALBIN,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,12,-58.50073810,-34.54979510,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0012,2017-01-24,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,14:00:00,14,TRAFUL Y DIOGENES TABORDA,CALLE,TRAFUL,SI,TRAFUL Y SI,4,-58.40969005,-34.65055290,MOTO-CARGAS,MOTO,CARGAS
2017-0013,2017-01-27,2017,1,27,PEATON,PEATON,MASCULINO,4,FATAL,NIÑO,HOMOCIDIO CULPOSO,1,07:00:00,7,IRIARTE 3055,AVENIDA,AV. GENERAL IRIARTE,NO,AV. GENERAL IRIARTE Y NO,4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS
2017-0014,2017-01-28,2017,1,28,PASAJERO,MOTO,FEMENINO,22,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,08:27:34,8,AV. DONADO Y ARIAS,AVENIDA,DONADO,SI,DONADO Y SI,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE
2017-0015,2017-02-02,2017,2,2,PEATON,PEATON,MASCULINO,82,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,15:18:03,15,CORDOBA AV. Y CALLAO,AVENIDA,AV. CORDOBA,SI,AV. CORDOBA Y SI,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO
"2017-0016,2017-02-03,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,05:12:21,5,""AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A."",AUTOPISTA,AUTOPISTA 25 DE MAYO,NO,AUTOPISTA 25 DE MAYO Y NO,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS"
2017-0017,2017-02-06,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,08:00:00,8,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,AV. JUAN B. JUSTO,SI,AV. JUAN B. JUSTO Y SI,14,-58.42901200,-34.58095431,MOTO-AUTO,MOTO,AUTO
2017-0018,2017-02-09,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,07:00:00,7,AV. GRAL. PAZ Y AV. DE LOS CORRALES,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2017-0021,2017-02-18,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,05:30:00,5,SARMIENTO Y LIBERTAD,CALLE,SARMIENTO,SI,SARMIENTO Y SI,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0024,2017-02-23,2017,2,23,PEATON,PEATON,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:50:00,20,AV. RIVADAVIA 7121,AVENIDA,AV. RIVADAVIA,NO,AV. RIVADAVIA Y NO,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0025,2017-02-24,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,17:05:00,17,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,AVENIDA,AV. GENERAL F. FERNANDEZ DE LA CRUZ,SI,AV. GENERAL F. FERNANDEZ DE LA CRUZ Y SI,7,-58.43614426,-34.65424640,MOTO-SD,MOTO,SD
2017-0026,2017-02-26,2017,2,26,PASAJERO,AUTO,FEMENINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,2,05:15:00,5,AV. PERITO MORENO Y FOURNIER,AVENIDA,AV. PERITO MORENO,SI,AV. PERITO MORENO Y SI,4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0026,2017-02-26,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,2,05:15:00,5,AV. PERITO MORENO Y FOURNIER,AVENIDA,AV. PERITO MORENO,SI,AV. PERITO MORENO Y SI,4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0027,2017-02-26,2017,2,26,PEATON,PEATON,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,21:57:00,21,AV. CASEROS 1429,AVENIDA,AV. CASEROS,NO,AV. CASEROS Y NO,1,-58.38332245,-34.63193250,PEATON-AUTO,PEATON,AUTO
2017-0028,2017-02-28,2017,2,28,PEATON,PEATON,MASCULINO,87,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,09:20:00,9,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,AV. GAONA,SI,AV. GAONA Y SI,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO
2017-0029,2017-03-07,2017,3,7,CONDUCTOR,MOTO,MASCULINO,34,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,02:15:00,2,MOZART Y TANDIL,CALLE,MOZART,SI,MOZART Y SI,9,-58.48501341,-34.64742455,SD-AUTO,SD,AUTO
2017-0030,2017-03-07,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,08:00:00,8,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,MOZART,SI,MOZART Y SI,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0031,2017-03-11,2017,3,11,PASAJERO,AUTO,MASCULINO,70,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,01:30:00,1,24 DE NOVIEMBRE Y PAVON ,CALLE,24 DE NOVIEMBRE,SI,24 DE NOVIEMBRE Y SI,3,-58.40997560,-34.62873635,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0032,2017-03-12,2017,3,12,PASAJERO,AUTO,FEMENINO,40,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,05:00:00,5,AV. GRAL. PAZ Y PEDRO DE MENDOZA,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.48892175,-34.68359163,AUTO-AUTO,AUTO,AUTO
2017-0033,2017-03-12,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,07:30:00,7,AV. GRAL. PAZ KM. 10,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,11,-58.52466448,-34.60325478,AUTO-AUTO,AUTO,AUTO
2017-0034,2017-03-13,2017,3,13,PEATON,PEATON,MASCULINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,07:50:00,7,GODOY CRUZ 2651,CALLE,GODOY CRUZ,NO,GODOY CRUZ Y NO,14,-58.42554218,-34.57929036,PEATON-AUTO,PEATON,AUTO
2017-0035,2017-03-23,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,3,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,AV. DR. T. ACHAVAL RODRIGUEZ,SI,AV. DR. T. ACHAVAL RODRIGUEZ Y SI,1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0035,2017-03-23,2017,3,23,PASAJERO,AUTO,MASCULINO,32,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,3,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,AV. DR. T. ACHAVAL RODRIGUEZ,SI,AV. DR. T. ACHAVAL RODRIGUEZ Y SI,1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0035,2017-03-23,2017,3,23,PASAJERO,AUTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,3,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,AV. DR. T. ACHAVAL RODRIGUEZ,SI,AV. DR. T. ACHAVAL RODRIGUEZ Y SI,1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0036,2017-03-29,2017,3,29,PASAJERO,MOTO,FEMENINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,2,18:00:00,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0036,2017-03-29,2017,3,29,CONDUCTOR,MOTO,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,2,18:00:00,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0037,2017-03-31,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,03:00:00,3,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,AV. INDEPENDENCIA,SI,AV. INDEPENDENCIA Y SI,1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS
2017-0038,2017-04-01,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,19:00:00,19,AV. CASTAÑARES Y LAUTARO,AVENIDA,AV. CASTA?ARES,SI,AV. CASTA?ARES Y SI,7,-58.44516857,-34.64363363,MOTO-AUTO,MOTO,AUTO
2017-0040,2017-04-03,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,09:40:00,9,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,INT. GUIRALDES,NO,INT. GUIRALDES Y NO,13,-58.43834197,-34.54560369,MULTIPLE,AUTO,MULTIPLE
2017-0041,2017-04-03,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17,FATAL,ADOLESCENTE,HOMOCIDIO CULPOSO,1,23:15:00,23,BALDOMERO FERNANDEZ MORENO 2186,CALLE,BALDOMERO FERNANDEZ MORENO,NO,BALDOMERO FERNANDEZ MORENO Y NO,7,-58.45485084,-34.63531854,MOTO-AUTO,MOTO,AUTO
2017-0042,2017-04-10,2017,4,10,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,09:00:00,9,AV. LEOPOLDO LUGONES PKM 6900,AVENIDA,AV. LEOPOLDO LUGONES,NO,AV. LEOPOLDO LUGONES Y NO,14,0,0,MOTO-CARGAS,MOTO,CARGAS
2017-0045,2017-04-14,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,06:15:00,6,NOGOYA 5940,CALLE,NOGOYA,NO,NOGOYA Y NO,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0047,2017-04-23,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,06:30:00,6,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,AV. ARGENTINA,SI,AV. ARGENTINA Y SI,8,-58.46713742,-34.67198790,MOTO-AUTO,MOTO,AUTO
2017-0049,2017-04-27,2017,4,27,PEATON,PEATON,MASCULINO,22,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,18:16:00,18,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,AV. GENERAL F. FERNANDEZ DE LA CRUZ,SI,AV. GENERAL F. FERNANDEZ DE LA CRUZ Y SI,8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0050,2017-04-28,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,2,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,AUTOPISTA,AUTOPISTA PERITO MORENO,NO,AUTOPISTA PERITO MORENO Y NO,9,0,0,MOTO-CARGAS,MOTO,CARGAS
2017-0050,2017-04-28,2017,4,28,PASAJERO,MOTO,MASCULINO,16,FATAL,ADOLESCENTE,HOMOCIDIO CULPOSO,2,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,AUTOPISTA,AUTOPISTA PERITO MORENO,NO,AUTOPISTA PERITO MORENO Y NO,9,0,0,MOTO-CARGAS,MOTO,CARGAS
2017-0051,2017-05-01,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,03:47:47,3,AU DELLEPIANE 2400,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL,NO,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL Y NO,7,0,0,AUTO-AUTO,AUTO,AUTO
2017-0052,2017-05-05,2017,5,5,PEATON,PEATON,FEMENINO,47,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,03:40:00,3,AV. GRAL. PAZ Y GOLETA JULIA,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,8,-58.49413799,-34.68095739,PEATON-CARGAS,PEATON,CARGAS
2017-0053,2017-05-05,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,20:16:22,20,VIEYTES Y VILLARINO,CALLE,VIEYTES,SI,VIEYTES Y SI,4,-58.37547846,-34.65326075,MOTO-CARGAS,MOTO,CARGAS
2017-0054,2017-05-07,2017,5,7,PASAJERO,MOTO,FEMENINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,21:00:00,21,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,AVENIDA,AV. DE LOS CONSTITUYENTES,SI,AV. DE LOS CONSTITUYENTES Y SI,15,-58.48680218,-34.58689719,MOTO-AUTO,MOTO,AUTO
2017-0055,2017-05-09,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,08:30:00,8,AV. DE LOS CONSTITUYENTES 4900,AVENIDA,AV. DE LOS CONSTITUYENTES,NO,AV. DE LOS CONSTITUYENTES Y NO,12,-58.49563989,-34.57962262,AUTO-AUTO,AUTO,AUTO
2017-0058,2017-05-09,2017,5,9,PEATON,PEATON,MASCULINO,80,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,23:10:00,23,AV. CORDOBA Y LIBERTAD,AVENIDA,AV. CORDOBA,SI,AV. CORDOBA Y SI,1,-58.38403232,-34.59915940,PEATON-MOTO,PEATON,MOTO
2017-0059,2017-05-11,2017,5,11,PEATON,PEATON,FEMENINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,09:24:00,9,BRASIL Y LIMA,CALLE,BRASIL,SI,BRASIL Y SI,1,-58.38223382,-34.62693865,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0060,2017-05-13,2017,5,13,PASAJERO,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,07:20:00,7,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,AVENIDA,AV. ESCALADA,SI,AV. ESCALADA Y SI,8,-58.45966521,-34.67323292,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0061,2017-05-15,2017,5,15,PEATON,PEATON,MASCULINO,47,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,13:29:30,13,PARAGUAY Y AV. CALLAO ,AVENIDA,PARAGUAY,SI,PARAGUAY Y SI,2,-58.39303911,-34.59871111,PEATON-MOTO,PEATON,MOTO
2017-0062,2017-05-15,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,16:00:00,16,AV. JUAN B JUSTO Y SAN BLAS,AVENIDA,AV. JUAN B. JUSTO,SI,AV. JUAN B. JUSTO Y SI,10,-58.51262106,-34.63395999,MOTO-CARGAS,MOTO,CARGAS
2017-0063,2017-05-17,2017,5,17,PEATON,PEATON,FEMENINO,79,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,10:13:00,10,CHILE Y AV. 9 DE JULIO,AVENIDA,CHILE,SI,CHILE Y SI,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0064,2017-05-20,2017,5,20,PASAJERO,CARGAS,MASCULINO,61,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,05:00:00,5,MAIPU Y PERON,CALLE,MAIPU,SI,MAIPU Y SI,1,-58.37653284,-34.60582475,CARGAS-AUTO,CARGAS,AUTO
2017-0065,2017-05-22,2017,5,22,CICLISTA,BICICLETA,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,16:00:00,16,AV. SUAREZ Y HERRERA,AVENIDA,AV. SUAREZ,SI,AV. SUAREZ Y SI,4,-58.37709334,-34.64035082,BICICLETA-CARGAS,BICICLETA,CARGAS
2017-0066,2017-05-22,2017,5,22,PEATON,PEATON,MASCULINO,10,FATAL,NIÑO,HOMOCIDIO CULPOSO,1,18:10:00,18,AV. SAN MARTIN Y FRAGATA SARMIENTO,AVENIDA,AV. SAN MARTIN,SI,AV. SAN MARTIN Y SI,15,-58.46002142,-34.60409469,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0067,2017-05-23,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,02:45:00,2,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,6,-58.43381970,-34.62801894,MOTO-CARGAS,MOTO,CARGAS
2017-0068,2017-05-27,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,19:50:00,19,AV. TTE. FRANCISCO RABANAL 2950,AVENIDA,AV. INTENDENTE FRANCISCO RABANAL,NO,AV. INTENDENTE FRANCISCO RABANAL Y NO,8,-58.43580656,-34.66437532,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0069,2017-05-29,2017,5,29,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,14:15:00,14,AV. GRAL. PAZ Y ULRICO SCHMIDL,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.52173071,-34.65997463,MOTO-SD,MOTO,SD
2017-0070,2017-05-30,2017,5,30,PEATON,PEATON,MASCULINO,80,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,13:20:00,13,NUEVA YORK  3696,CALLE,NUEVA YORK,NO,NUEVA YORK Y NO,11,-58.50791763,-34.59804273,PEATON-AUTO,PEATON,AUTO
2017-0072,2017-06-03,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,23:20:00,23,AV. DE LOS CONSTITUYENTES Y VALLEJOS,AVENIDA,AV. DE LOS CONSTITUYENTES,SI,AV. DE LOS CONSTITUYENTES Y SI,12,-58.49175088,-34.58226957,AUTO-AUTO,AUTO,AUTO
2017-0073,2017-06-04,2017,6,4,CONDUCTOR,MOTO,MASCULINO,19,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,09:00:00,9,AV. CORRIENTES Y ECUADOR,AVENIDA,AV. CORRIENTES,SI,AV. CORRIENTES Y SI,3,-58.40781467,-34.60425669,MOTO-AUTO,MOTO,AUTO
2017-0074,2017-06-04,2017,6,4,CONDUCTOR,MOTO,MASCULINO,70,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,12:50:00,12,CASCO 133,CALLE,CASCO,NO,CASCO Y NO,9,-58.52567073,-34.63787791,SD-SD,SD,SD
2017-0075,2017-06-12,2017,6,12,PEATON,PEATON,MASCULINO,55,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,22:38:00,22,AV. DE MAYO Y AV. 9 DE JULIO,AVENIDA,AV. DE MAYO,SI,AV. DE MAYO Y SI,1,-58.38154200,-34.60906385,PEATON-MOTO,PEATON,MOTO
2017-0076,2017-06-13,2017,6,13,PEATON,PEATON,FEMENINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,14:50:00,14,AV. RAMON CASTILLO Y CALLE 12,AVENIDA,AV. PRES. RAMON S. CASTILLO,SI,AV. PRES. RAMON S. CASTILLO Y SI,2,-58.38526125,-34.57805810,PEATON-CARGAS,PEATON,CARGAS
2017-0077,2017-06-17,2017,6,17,CONDUCTOR,MOTO,FEMENINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,23:45:00,23,FRAY JUSTO SANTAMARIA DE ORO 1930,CALLE,FRAY JUSTO SANTAMARIA DE ORO,NO,FRAY JUSTO SANTAMARIA DE ORO Y NO,14,-58.42934104,-34.58451712,MOTO-CARGAS,MOTO,CARGAS
2017-0079,2017-06-19,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,16:26:00,16,MEXICO Y DEAN FUNES,CALLE,MEXICO,SI,MEXICO Y SI,3,-58.40657493,-34.61781124,MOTO-CARGAS,MOTO,CARGAS
2017-0080,2017-06-22,2017,6,22,PEATON,PEATON,FEMENINO,95,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,10:15:00,10,AV. JUAN B ALBERDI Y AV. ESCALADA,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,9,-58.49525314,-34.64487785,PEATON-CARGAS,PEATON,CARGAS
2017-0082,2017-06-25,2017,6,25,PEATON,PEATON,MASCULINO,36,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,22:40:00,22,AV. ENTRE RIOS Y AV. BRASIL,AVENIDA,AV. ENTRE RIOS,SI,AV. ENTRE RIOS Y SI,4,-58.39092851,-34.62932696,PEATON-AUTO,PEATON,AUTO
2017-0083,2017-07-04,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:25:00,0,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,9,-58.49603546,-34.64564271,MOTO-CARGAS,MOTO,CARGAS
2017-0084,2017-07-05,2017,7,5,PEATON,PEATON,FEMENINO,73,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,12:49:00,12,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,AVENIDA,AV. DEL LIBERTADOR,SI,AV. DEL LIBERTADOR Y SI,2,-58.38502878,-34.58703485,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0085,2017-07-07,2017,7,7,PEATON,PEATON,MASCULINO,84,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,14:15:00,14,TACUARI Y AV. MARTIN GARCIA,AVENIDA,TACUARI,SI,TACUARI Y SI,4,-58.37261143,-34.63150425,PEATON-PASAJEROS,PEATON,PASAJEROS
